name,count,type,description
accuracy,146,分类,准确率
recall,95,检索,召回率
loss,81,训练,损失值
map,71,检索,平均精度均值
precision,71,分类,精确率
f1,61,分类,F1分数
ctr,61,转化,点击率
ndcg,59,排序,归一化折损累积增益
conversion,41,转化,转化率
auc,40,分类,曲线下面积
mrr,27,检索,平均倒数排名
bleu,26,生成,BLEU分数
cvr,23,转化,转化率
rmse,17,回归,均方根误差
roi,14,商业,投资回报率
mae,14,回归,平均绝对误差
rouge,10,生成,ROUGE分数
hit_rate,5,推荐,命中率
perplexity,3,语言,困惑度
